RespondentID,q1AgeBeginCoding,q3Gender,q6LearnCodeUni,q6LearnCodeSelfTaught,q6LearnCodeDontKnowHowToYet,q30LearnCodeStackOverflow,q30LearnCodeYoutube,q30LearnCodeMOOC,q30LearnCodeCompCodingSites,q30LearnCodeOnlineTutorial,q30LearnCodeBooks,q30LearnCodeAcademicPaper,q30LearnCodeOther,q8Student
6464453728,3,2,1,1,0,1,1,0,0,0,0,0,1,1
6478031510,3,1,1,1,0,1,1,1,0,0,1,0,0,0
6464392829,2,2,1,0,0,0,1,0,0,0,0,1,0,1
6481629912,2,1,0,1,0,1,0,0,0,0,0,0,0,1
6488385057,3,2,1,1,0,1,0,0,0,0,1,0,1,0
6463843138,8,1,1,0,0,0,1,1,0,0,1,0,1,0
6458326054,3,1,0,1,0,1,0,0,0,0,1,0,0,0
6467198274,3,1,1,0,0,1,1,0,0,1,0,0,0,0
6477950548,3,1,0,1,0,1,0,0,0,0,1,1,0,1
6477542461,3,1,0,1,0,1,1,0,0,0,1,0,0,1
6482854711,3,1,1,1,0,1,1,1,0,1,0,0,0,1
6477497195,3,1,1,1,1,1,1,0,1,1,1,1,0,1
6458360594,3,1,1,1,0,0,0,0,0,0,0,0,0,0
6479308588,5,2,0,1,0,0,0,0,0,0,1,1,1,0
6464740208,4,2,1,1,1,1,1,0,0,0,1,1,0,1
6467287018,2,2,1,1,0,1,1,0,0,0,0,1,0,0
6478371333,3,2,0,1,0,0,1,0,0,0,0,0,0,1
6479700120,3,1,1,1,0,1,0,1,0,1,0,0,0,1
6478567790,2,1,0,1,0,1,1,0,1,0,0,0,0,1
6459199069,3,2,1,0,0,1,1,0,0,0,0,0,0,0
6479893983,1,1,1,1,0,1,1,1,0,1,1,0,0,0
6463284414,3,1,1,0,0,1,0,1,0,0,0,0,0,0
6480466440,3,2,0,0,1,0,1,0,0,0,1,0,0,0
6461750599,2,1,0,1,0,1,1,1,0,1,1,0,0,1
6460870080,3,1,1,1,0,1,1,0,0,1,0,1,0,1
6477660406,2,1,1,1,0,1,1,0,0,0,0,0,0,0
6462146987,4,2,0,1,0,1,1,1,0,0,0,0,0,1
6464588056,4,1,1,0,0,1,0,0,0,0,0,0,1,0
6479727819,3,1,1,1,0,0,0,0,0,0,0,0,1,1
6474876638,4,1,1,1,0,1,1,1,0,1,0,0,0,1
6477161464,3,2,0,0,1,0,1,0,0,0,0,0,0,1
6478794960,3,1,1,1,0,1,1,1,0,0,1,0,0,0
6479915894,3,1,1,0,0,0,1,0,1,1,1,0,0,1
6466782341,3,2,1,1,0,1,0,1,1,1,1,0,0,0
6478157511,5,1,1,0,0,1,1,0,0,1,1,1,0,1
6480141187,3,1,1,1,0,1,1,1,0,0,0,0,0,0
6477643165,3,1,1,1,0,1,1,1,0,0,1,0,0,0
6479640992,3,2,1,0,0,0,0,0,1,0,0,0,0,1
6464404718,3,1,1,0,0,0,0,0,1,0,1,0,1,0
6472094419,2,1,0,1,0,1,0,0,0,1,0,0,0,0
6479693460,2,1,0,1,0,1,1,1,0,0,1,0,1,0
6478871084,4,1,1,0,0,1,0,0,0,0,0,1,1,0
6463550038,3,1,1,0,0,1,0,1,0,0,0,0,0,0
6480657500,3,1,1,0,0,1,1,0,0,1,1,0,0,0
6464279786,2,1,1,1,0,1,0,1,0,1,1,0,0,0
6463574850,2,1,0,1,0,1,1,0,1,0,0,0,0,1
6477657068,4,1,1,0,0,1,1,0,0,1,1,0,0,0
6478832462,2,2,1,1,0,1,0,0,0,0,0,0,0,0
6463324693,4,1,0,1,0,1,1,0,0,1,1,0,0,0
6479736483,4,1,1,0,0,0,1,0,0,0,1,0,0,1
6475158767,3,2,1,0,0,1,1,1,1,0,0,0,0,1
6480222107,2,1,0,1,0,1,0,0,0,0,0,0,0,1
6487325324,3,1,1,1,0,1,1,1,1,0,1,0,0,0
6478813166,3,1,1,1,0,1,0,0,0,1,1,0,0,0
6478942557,3,1,1,0,0,1,1,1,0,0,1,0,0,0
6467039435,2,1,0,1,0,1,0,0,0,0,0,1,0,0
6474469368,3,1,0,1,0,1,1,1,1,0,1,0,0,1
6464378774,3,1,1,1,0,1,1,1,1,0,1,0,0,0
6478913599,3,1,1,1,0,1,1,0,0,1,0,0,0,0
6474449454,2,1,0,1,0,1,1,1,0,1,0,0,0,1
6464501028,3,1,1,1,0,1,1,0,0,1,1,1,0,0
6467428330,1,1,0,1,0,1,1,0,0,0,0,0,0,1
6464626107,2,1,1,1,0,1,1,1,1,0,0,0,0,0
6480113574,2,1,1,0,0,1,0,0,1,1,0,1,0,0
6463368981,3,1,1,1,0,1,1,0,1,0,0,0,0,0
6463673905,4,1,1,1,0,1,0,1,0,1,1,0,0,0
6461311170,3,1,1,0,0,1,0,0,0,0,1,0,1,0
6483706221,1,1,1,1,0,1,0,0,1,0,1,1,0,1
6477524557,3,1,1,1,0,1,1,1,0,0,1,0,0,1
6477491454,3,1,1,1,0,1,0,0,1,1,1,0,0,0
6477159419,3,1,0,1,0,1,1,1,0,0,1,1,0,0
6477503220,2,1,1,1,0,1,0,1,1,0,0,0,0,0
6462833075,3,1,0,1,0,1,1,0,0,1,1,1,0,1
6479027440,3,1,1,0,0,1,1,1,1,1,1,0,0,0
6464991083,2,1,1,0,0,1,1,0,0,0,1,0,0,0
6463564885,3,1,1,1,0,1,1,0,0,0,1,0,0,0
6463326155,2,1,1,1,0,1,1,0,1,1,0,0,0,0
6477691646,3,1,1,1,0,1,0,1,0,0,0,0,1,0
6462188135,2,1,1,1,0,1,0,0,0,0,1,0,0,0
6479327880,2,1,0,1,0,0,0,0,0,0,1,1,0,0
